"","verified","Score1","Score2","Score3","Score4","Score5","Score6","Score7"
"1",FALSE,1,"high",2,"old","high","low",3
"2",FALSE,1,"high",2,"old","high","high",3
"3",FALSE,1,"high",2,"middle","moderate","moderate",3
"4",FALSE,1,"low",2,"new","low","low",2
"5",FALSE,1,"low",2,"new","low","low",2
"6",FALSE,0,"low",2,"old","low","high",2
"7",FALSE,1,"low",2,"new","moderate","low",2
"8",FALSE,1,"moderate",2,"new","moderate","high",2
"9",FALSE,1,"moderate",2,"middle","high","high",1
"10",FALSE,1,"low",2,"new","low","moderate",2
"11",FALSE,1,"low",2,"middle","low","low",2
"12",FALSE,1,"moderate",2,"new","moderate","moderate",2
"13",FALSE,1,"moderate",2,"new","moderate","high",2
"14",FALSE,1,"high",2,"old","moderate","moderate",2
"15",FALSE,1,"moderate",2,"middle","high","low",1
"16",FALSE,1,"high",2,"old","low","high",2
"17",FALSE,1,"low",2,"new","low","low",2
"18",FALSE,1,"low",2,"new","low","high",2
"19",TRUE,1,"low",3,"old","high","low",2
"20",FALSE,1,"moderate",2,"new","moderate","high",2
"21",FALSE,1,"low",2,"new","low","low",2
"22",FALSE,1,"high",2,"old","moderate","low",2
"23",FALSE,1,"high",2,"middle","moderate","low",2
"24",FALSE,1,"moderate",2,"middle","moderate","high",2
"25",FALSE,1,"low",2,"old","low","low",2
"26",FALSE,1,"low",2,"middle","low","moderate",2
"27",FALSE,1,"high",2,"middle","low","low",2
"28",FALSE,1,"low",2,"old","high","low",1
"29",FALSE,1,"high",2,"middle","high","high",3
"30",FALSE,1,"low",2,"new","low","low",2
"31",FALSE,1,"moderate",2,"middle","moderate","low",2
"32",FALSE,1,"high",2,"middle","high","low",3
"33",FALSE,1,"high",2,"middle","moderate","high",3
"34",FALSE,1,"low",2,"new","low","low",2
"35",FALSE,1,"high",2,"middle","high","high",3
"36",FALSE,1,"low",2,"new","low","low",2
"37",FALSE,1,"moderate",2,"new","moderate","low",2
"38",FALSE,1,"high",2,"middle","high","low",3
"39",FALSE,1,"high",2,"new","high","low",3
"40",FALSE,1,"low",2,"middle","low","moderate",2
"41",FALSE,1,"low",2,"new","low","low",2
"42",FALSE,1,"high",2,"old","high","moderate",3
"43",TRUE,1,"low",3,"old","high","low",3
"44",FALSE,0,"low",2,"new","low","high",2
"45",FALSE,1,"high",2,"new","moderate","high",2
"46",FALSE,1,"high",2,"middle","high","high",3
"47",FALSE,1,"low",2,"old","high","low",1
"48",FALSE,1,"moderate",2,"middle","high","moderate",1
"49",FALSE,1,"moderate",2,"new","moderate","low",1
"50",FALSE,1,"moderate",2,"new","high","high",1
"51",FALSE,1,"low",2,"middle","low","moderate",2
"52",FALSE,0,"high",2,"middle","high","high",3
"53",FALSE,1,"moderate",2,"new","low","low",2
"54",FALSE,1,"low",2,"new","low","moderate",2
"55",FALSE,1,"high",2,"middle","high","low",3
"56",FALSE,1,"low",2,"new","low","low",2
"57",FALSE,1,"low",2,"new","low","low",2
"58",FALSE,1,"low",2,"middle","low","low",2
"59",FALSE,1,"moderate",2,"new","low","low",2
"60",FALSE,1,"low",2,"middle","high","low",1
"61",FALSE,1,"low",2,"middle","high","high",1
"62",FALSE,1,"moderate",2,"new","high","moderate",1
"63",FALSE,1,"high",2,"middle","low","low",2
"64",FALSE,1,"moderate",2,"new","moderate","high",2
"65",FALSE,1,"moderate",2,"middle","moderate","moderate",2
"66",FALSE,1,"high",2,"old","high","moderate",3
"67",FALSE,1,"high",2,"new","low","moderate",2
"68",FALSE,1,"high",2,"new","high","high",3
"69",FALSE,1,"high",2,"new","high","moderate",3
"70",FALSE,1,"low",2,"new","low","low",2
"71",FALSE,1,"moderate",2,"middle","low","low",2
"72",FALSE,1,"low",2,"new","moderate","low",2
"73",FALSE,1,"low",2,"new","low","low",2
"74",FALSE,1,"moderate",2,"new","moderate","high",2
"75",FALSE,1,"low",2,"new","low","high",2
"76",FALSE,1,"moderate",2,"old","moderate","low",2
"77",FALSE,1,"low",2,"new","low","low",2
"78",FALSE,1,"low",2,"new","low","low",2
"79",FALSE,1,"high",2,"middle","low","high",2
"80",FALSE,1,"moderate",2,"new","moderate","moderate",2
"81",FALSE,1,"high",2,"new","low","high",2
"82",FALSE,1,"moderate",2,"new","moderate","high",2
"83",FALSE,1,"high",2,"old","high","moderate",3
"84",FALSE,1,"low",2,"middle","low","low",2
"85",FALSE,1,"moderate",2,"new","high","high",1
"86",FALSE,1,"high",2,"old","high","high",3
"87",FALSE,1,"low",2,"new","low","low",2
"88",FALSE,1,"high",2,"new","high","high",3
"89",FALSE,1,"low",2,"middle","low","moderate",2
"90",FALSE,1,"moderate",2,"new","moderate","high",2
"91",FALSE,1,"moderate",2,"new","moderate","moderate",2
"92",FALSE,0,"high",2,"middle","moderate","moderate",2
"93",FALSE,1,"low",2,"old","low","low",2
"94",FALSE,1,"high",2,"middle","moderate","high",2
"95",FALSE,1,"high",2,"new","low","low",2
"96",FALSE,1,"high",2,"new","high","low",3
"97",FALSE,1,"moderate",2,"new","low","low",2
"98",FALSE,0,"low",2,"old","high","high",1
"99",FALSE,1,"high",2,"middle","high","moderate",3
"100",FALSE,1,"low",2,"new","low","low",2
"101",FALSE,1,"moderate",2,"new","moderate","high",2
"102",FALSE,1,"high",2,"new","high","high",3
"103",FALSE,1,"moderate",2,"new","high","high",1
"104",FALSE,1,"high",2,"new","high","high",3
"105",FALSE,1,"moderate",2,"middle","high","low",1
"106",FALSE,1,"moderate",2,"middle","moderate","low",1
"107",FALSE,1,"high",2,"old","high","moderate",3
"108",FALSE,1,"moderate",2,"new","high","low",1
"109",FALSE,0,"low",2,"old","high","high",1
"110",FALSE,1,"low",2,"new","high","low",1
"111",FALSE,1,"high",2,"new","high","high",3
"112",FALSE,1,"low",2,"new","moderate","low",3
"113",FALSE,1,"moderate",2,"middle","moderate","high",3
"114",FALSE,1,"moderate",2,"middle","high","moderate",1
"115",FALSE,1,"moderate",2,"middle","low","moderate",2
"116",FALSE,1,"low",2,"new","low","low",2
"117",FALSE,0,"moderate",2,"new","moderate","low",2
"118",FALSE,1,"high",2,"middle","moderate","low",2
"119",FALSE,1,"high",2,"new","low","high",2
"120",FALSE,1,"low",2,"new","high","high",1
"121",FALSE,1,"high",2,"middle","high","high",3
"122",FALSE,1,"high",2,"middle","moderate","low",3
"123",FALSE,1,"low",2,"old","low","high",2
"124",FALSE,1,"low",2,"new","low","high",2
"125",FALSE,1,"low",2,"new","low","low",2
"126",FALSE,1,"high",2,"new","high","high",3
"127",FALSE,1,"low",2,"new","low","low",2
"128",FALSE,1,"moderate",2,"middle","high","moderate",1
"129",FALSE,1,"moderate",2,"new","moderate","moderate",1
"130",FALSE,1,"low",2,"middle","low","moderate",2
"131",FALSE,1,"high",2,"middle","moderate","high",2
"132",FALSE,1,"low",2,"middle","low","moderate",2
"133",FALSE,1,"low",2,"old","low","low",2
"134",FALSE,1,"moderate",2,"new","high","moderate",1
"135",FALSE,1,"moderate",2,"old","moderate","low",1
"136",FALSE,1,"moderate",2,"new","high","moderate",1
"137",FALSE,1,"low",2,"new","high","high",1
"138",FALSE,1,"low",2,"middle","moderate","high",1
"139",FALSE,1,"low",2,"middle","low","high",2
"140",FALSE,1,"moderate",2,"new","low","high",2
"141",FALSE,1,"high",2,"old","low","moderate",2
"142",FALSE,1,"low",2,"new","high","high",1
"143",FALSE,1,"high",2,"middle","low","moderate",2
"144",FALSE,1,"low",2,"new","high","high",1
"145",FALSE,1,"moderate",2,"middle","moderate","high",1
"146",FALSE,1,"high",2,"middle","high","high",3
"147",TRUE,0,"low",3,"old","high","low",3
"148",FALSE,1,"high",2,"new","low","low",2
"149",FALSE,1,"low",2,"new","low","low",2
"150",FALSE,1,"low",2,"new","low","low",2
"151",FALSE,1,"high",2,"old","moderate","high",2
"152",FALSE,1,"high",2,"middle","moderate","moderate",2
"153",FALSE,1,"low",2,"new","low","high",2
"154",FALSE,1,"moderate",2,"middle","moderate","high",2
"155",FALSE,1,"low",2,"middle","low","low",2
"156",FALSE,1,"moderate",2,"middle","low","low",2
"157",FALSE,1,"high",2,"old","high","low",3
"158",FALSE,1,"high",2,"middle","moderate","low",3
"159",FALSE,1,"high",2,"middle","high","high",3
"160",FALSE,1,"moderate",2,"old","high","low",1
"161",FALSE,1,"moderate",2,"middle","low","low",2
"162",FALSE,1,"moderate",2,"middle","moderate","high",2
"163",FALSE,1,"high",2,"new","high","low",3
"164",FALSE,1,"high",2,"new","high","moderate",3
"165",FALSE,1,"moderate",2,"new","moderate","moderate",3
"166",FALSE,1,"low",2,"new","high","high",1
"167",FALSE,1,"low",2,"new","low","low",2
"168",FALSE,1,"high",2,"new","moderate","high",2
"169",FALSE,0,"moderate",2,"middle","high","low",1
"170",FALSE,1,"low",2,"new","low","moderate",2
"171",FALSE,1,"low",2,"new","low","low",2
"172",FALSE,1,"high",2,"new","high","high",3
"173",FALSE,1,"low",2,"old","low","high",2
"174",FALSE,1,"low",2,"new","low","moderate",2
"175",FALSE,1,"low",2,"middle","low","moderate",2
"176",FALSE,1,"moderate",2,"new","moderate","low",2
"177",FALSE,1,"high",2,"middle","high","moderate",3
"178",FALSE,1,"moderate",2,"new","low","high",2
"179",FALSE,1,"low",2,"new","low","low",2
"180",FALSE,1,"low",2,"new","low","low",2
"181",FALSE,1,"low",2,"middle","moderate","high",2
"182",FALSE,1,"low",2,"new","moderate","moderate",2
"183",FALSE,1,"low",2,"old","high","high",1
"184",FALSE,1,"low",2,"old","low","low",2
"185",FALSE,0,"moderate",2,"new","high","low",1
"186",FALSE,1,"moderate",2,"new","moderate","moderate",1
"187",FALSE,1,"high",2,"old","high","low",3
"188",FALSE,1,"low",2,"new","low","low",2
"189",FALSE,1,"high",2,"new","high","high",3
"190",FALSE,1,"low",2,"new","low","low",2
"191",FALSE,1,"high",2,"old","high","low",3
"192",FALSE,1,"moderate",2,"middle","moderate","low",3
"193",FALSE,1,"moderate",2,"old","moderate","high",3
"194",FALSE,1,"low",2,"middle","high","high",1
"195",FALSE,1,"moderate",2,"new","moderate","high",1
"196",FALSE,0,"moderate",2,"new","high","high",1
"197",FALSE,1,"high",2,"middle","high","moderate",3
"198",FALSE,1,"high",2,"middle","high","high",3
"199",FALSE,1,"high",2,"new","high","moderate",3
"200",FALSE,1,"moderate",2,"new","high","moderate",1
"201",FALSE,0,"low",2,"new","high","low",1
"202",FALSE,1,"high",2,"middle","high","moderate",3
"203",FALSE,1,"high",2,"old","low","low",2
"204",FALSE,1,"high",2,"old","high","moderate",3
"205",FALSE,0,"low",2,"new","high","low",1
"206",FALSE,1,"low",2,"new","moderate","high",1
"207",FALSE,1,"high",2,"old","low","high",2
"208",FALSE,1,"low",2,"new","low","low",2
"209",FALSE,1,"moderate",2,"new","moderate","low",2
"210",FALSE,1,"high",2,"middle","high","high",3
"211",FALSE,1,"moderate",2,"middle","high","moderate",1
"212",FALSE,1,"high",2,"middle","high","high",3
"213",FALSE,1,"low",2,"old","high","moderate",1
"214",FALSE,1,"high",2,"old","high","moderate",3
"215",FALSE,1,"high",2,"new","moderate","moderate",3
"216",FALSE,1,"high",2,"old","high","high",3
"217",FALSE,0,"moderate",2,"new","high","moderate",1
"218",FALSE,1,"low",2,"new","moderate","moderate",1
"219",FALSE,0,"high",2,"middle","low","high",2
"220",FALSE,1,"high",2,"middle","moderate","moderate",2
"221",FALSE,1,"moderate",2,"middle","low","low",2
"222",FALSE,0,"low",2,"old","low","high",2
"223",FALSE,1,"low",2,"new","low","high",2
"224",FALSE,1,"high",2,"middle","high","low",3
"225",FALSE,1,"low",2,"new","moderate","moderate",3
"226",FALSE,1,"moderate",2,"old","moderate","low",3
"227",FALSE,1,"low",2,"old","low","high",2
"228",FALSE,1,"moderate",2,"middle","low","low",2
"229",FALSE,1,"moderate",2,"new","high","high",1
"230",FALSE,1,"low",2,"old","high","high",1
"231",FALSE,1,"high",2,"new","high","low",3
"232",FALSE,1,"high",2,"middle","high","high",3
"233",FALSE,1,"low",2,"old","low","low",2
"234",FALSE,1,"moderate",2,"new","low","low",2
"235",FALSE,1,"high",2,"middle","moderate","high",2
"236",FALSE,1,"low",2,"new","high","high",1
"237",FALSE,1,"high",2,"new","high","moderate",3
"238",FALSE,1,"moderate",2,"new","high","high",1
"239",FALSE,1,"high",2,"middle","high","moderate",3
"240",FALSE,0,"high",2,"old","moderate","high",3
"241",FALSE,1,"moderate",2,"new","high","high",1
"242",FALSE,1,"high",2,"middle","high","high",3
"243",FALSE,1,"low",2,"new","moderate","high",3
"244",FALSE,1,"low",2,"new","low","moderate",2
"245",FALSE,1,"high",2,"old","high","moderate",3
"246",FALSE,1,"moderate",2,"new","low","moderate",2
"247",FALSE,1,"low",2,"middle","low","high",2
"248",FALSE,1,"low",2,"new","low","low",2
"249",FALSE,0,"high",2,"old","low","moderate",2
"250",FALSE,1,"high",2,"new","high","moderate",3
"251",FALSE,1,"high",2,"middle","moderate","moderate",3
"252",FALSE,1,"high",2,"middle","low","moderate",2
